Type Name,Base Type,Value Name,Value,Comment,,,,,,,,,,,,,,
,,percent_maximum_average,18,,,,,,,,,,,,,,,
,,lap_percent_maximum,19,,,,,,,,,,,,,,,
,,elapsed,20,,,,,,,,,,,,,,,
,,sunrise,21,,,,,,,,,,,,,,,
,,sunset,22,,,,,,,,,,,,,,,
,,compared_to_virtual_partner,23,,,,,,,,,,,,,,,
,,maximum_24h,24,,,,,,,,,,,,,,,
,,minimum_24h,25,,,,,,,,,,,,,,,
,,minimum,26,,,,,,,,,,,,,,,
,,first,27,,,,,,,,,,,,,,,
,,second,28,,,,,,,,,,,,,,,
,,third,29,,,,,,,,,,,,,,,
,,shifter,30,,,,,,,,,,,,,,,
,,zone_9,242,,,,,,,,,,,,,,,
,,zone_8,243,,,,,,,,,,,,,,,
,,zone_7,244,,,,,,,,,,,,,,,
,,zone_6,245,,,,,,,,,,,,,,,
,,zone_5,246,,,,,,,,,,,,,,,
,,zone_4,247,,,,,,,,,,,,,,,
,,zone_3,248,,,,,,,,,,,,,,,
,,zone_2,249,,,,,,,,,,,,,,,
,,zone_1,250,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
exd_descriptors,enum,,,,,,,,,,,,,,,,,
,,bike_light_battery_status,0,,,,,,,,,,,,,,,
,,beam_angle_status,1,,,,,,,,,,,,,,,
,,batery_level,2,,,,,,,,,,,,,,,
,,light_network_mode,3,,,,,,,,,,,,,,,
,,number_lights_connected,4,,,,,,,,,,,,,,,
,,cadence,5,,,,,,,,,,,,,,,
,,distance,6,,,,,,,,,,,,,,,
,,estimated_time_of_arrival,7,,,,,,,,,,,,,,,
,,heading,8,,,,,,,,,,,,,,,
,,time,9,,,,,,,,,,,,,,,
,,battery_level,10,,,,,,,,,,,,,,,
,,trainer_resistance,11,,,,,,,,,,,,,,,
,,trainer_target_power,12,,,,,,,,,,,,,,,
,,time_seated,13,,,,,,,,,,,,,,,
,,time_standing,14,,,,,,,,,,,,,,,
,,elevation,15,,,,,,,,,,,,,,,
,,grade,16,,,,,,,,,,,,,,,
,,ascent,17,,,,,,,,,,,,,,,
,,descent,18,,,,,,,,,,,,,,,
,,vertical_speed,19,,,,,,,,,,,,,,,
,,di2_battery_level,20,,,,,,,,,,,,,,,
,,front_gear,21,,,,,,,,,,,,,,,
,,rear_gear,22,,,,,,,,,,,,,,,
,,gear_ratio,23,,,,,,,,,,,,,,,
,,heart_rate,24,,,,,,,,,,,,,,,
,,heart_rate_zone,25,,,,,,,,,,,,,,,
,,time_in_heart_rate_zone,26,,,,,,,,,,,,,,,
,,heart_rate_reserve,27,,,,,,,,,,,,,,,
,,calories,28,,,,,,,,,,,,,,,
,,gps_accuracy,29,,,,,,,,,,,,,,,
,,gps_signal_strength,30,,,,,,,,,,,,,,,
,,temperature,31,,,,,,,,,,,,,,,
,,time_of_day,32,,,,,,,,,,,,,,,
,,balance,33,,,,,,,,,,,,,,,
,,pedal_smoothness,34,,,,,,,,,,,,,,,
,,power,35,,,,,,,,,,,,,,,
,,functional_threshold_power,36,,,,,,,,,,,,,,,
,,intensity_factor,37,,,,,,,,,,,,,,,
,,work,38,,,,,,,,,,,,,,,
,,power_ratio,39,,,,,,,,,,,,,,,
,,normalized_power,40,,,,,,,,,,,,,,,
,,training_stress_Score,41,,,,,,,,,,,,,,,
,,time_on_zone,42,,,,,,,,,,,,,,,
,,speed,43,,,,,,,,,,,,,,,
,,laps,44,,,,,,,,,,,,,,,
,,reps,45,,,,,,,,,,,,,,,
,,workout_step,46,,,,,,,,,,,,,,,
,,course_distance,47,,,,,,,,,,,,,,,
,,navigation_distance,48,,,,,,,,,,,,,,,
,,course_estimated_time_of_arrival,49,,,,,,,,,,,,,,,
,,navigation_estimated_time_of_arrival,50,,,,,,,,,,,,,,,
,,course_time,51,,,,,,,,,,,,,,,
,,navigation_time,52,,,,,,,,,,,,,,,
,,course_heading,53,,,,,,,,,,,,,,,
,,navigation_heading,54,,,,,,,,,,,,,,,
,,power_zone,55,,,,,,,,,,,,,,,
,,torque_effectiveness,56,,,,,,,,,,,,,,,
,,timer_time,57,,,,,,,,,,,,,,,
,,power_weight_ratio,58,,,,,,,,,,,,,,,
,,left_platform_center_offset,59,,,,,,,,,,,,,,,
,,right_platform_center_offset,60,,,,,,,,,,,,,,,
,,left_power_phase_start_angle,61,,,,,,,,,,,,,,,
,,right_power_phase_start_angle,62,,,,,,,,,,,,,,,
,,left_power_phase_finish_angle,63,,,,,,,,,,,,,,,
,,right_power_phase_finish_angle,64,,,,,,,,,,,,,,,
,,gears,65,Combined gear information,,,,,,,,,,,,,,
,,pace,66,,,,,,,,,,,,,,,
,,training_effect,67,,,,,,,,,,,,,,,
,,vertical_oscillation,68,,,,,,,,,,,,,,,
,,vertical_ratio,69,,,,,,,,,,,,,,,
,,ground_contact_time,70,,,,,,,,,,,,,,,
,,left_ground_contact_time_balance,71,,,,,,,,,,,,,,,
,,right_ground_contact_time_balance,72,,,,,,,,,,,,,,,
,,stride_length,73,,,,,,,,,,,,,,,
,,running_cadence,74,,,,,,,,,,,,,,,
,,performance_condition,75,,,,,,,,,,,,,,,
,,course_type,76,,,,,,,,,,,,,,,
,,time_in_power_zone,77,,,,,,,,,,,,,,,
,,navigation_turn,78,,,,,,,,,,,,,,,
,,course_location,79,,,,,,,,,,,,,,,
,,navigation_location,80,,,,,,,,,,,,,,,
,,compass,81,,,,,,,,,,,,,,,
,,gear_combo,82,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
supported_exd_screen_layouts,uint32z,,,,,,,,,,,,,,,,,
,,full_screen,0x00000001,,,,,,,,,,,,,,,
,,half_vertical,0x00000002,,,,,,,,,,,,,,,
,,half_horizontal,0x00000004,,,,,,,,,,,,,,,
,,half_vertical_right_split,0x00000008,,,,,,,,,,,,,,,
,,half_horizontal_bottom_split,0x00000010,,,,,,,,,,,,,,,
,,full_quarter_split,0x00000020,,,,,,,,,,,,,,,
,,half_vertical_left_split,0x00000040,,,,,,,,,,,,,,,
,,half_horizontal_top_split,0x00000080,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
fit_base_type,uint8,,,,,,,,,,,,,,,,,
,,enum,0,,,,,,,,,,,,,,,
,,sint8,1,,,,,,,,,,,,,,,
,,uint8,2,,,,,,,,,,,,,,,
,,sint16,131,,,,,,,,,,,,,,,
,,uint16,132,,,,,,,,,,,,,,,
,,sint32,133,,,,,,,,,,,,,,,
,,uint32,134,,,,,,,,,,,,,,,
,,string,7,,,,,,,,,,,,,,,
,,float32,136,,,,,,,,,,,,,,,
,,float64,137,,,,,,,,,,,,,,,
,,uint8z,10,,,,,,,,,,,,,,,
,,uint16z,139,,,,,,,,,,,,,,,
,,uint32z,140,,,,,,,,,,,,,,,
,,byte,13,,,,,,,,,,,,,,,
turn_type,enum,,,,,,,,,,,,,,,,,
,,arriving_idx,0,,,,,,,,,,,,,,,
,,arriving_left_idx,1,,,,,,,,,,,,,,,
,,arriving_right_idx,2,,,,,,,,,,,,,,,
,,arriving_via_idx,3,,,,,,,,,,,,,,,
,,arriving_via_left_idx,4,,,,,,,,,,,,,,,
,,arriving_via_right_idx,5,,,,,,,,,,,,,,,
,,bear_keep_left_idx,6,,,,,,,,,,,,,,,
,,bear_keep_right_idx,7,,,,,,,,,,,,,,,
,,continue_idx,8,,,,,,,,,,,,,,,
,,exit_left_idx,9,,,,,,,,,,,,,,,
,,exit_right_idx,10,,,,,,,,,,,,,,,
,,ferry_idx,11,,,,,,,,,,,,,,,
,,roundabout_45_idx,12,,,,,,,,,,,,,,,
,,roundabout_90_idx,13,,,,,,,,,,,,,,,
,,roundabout_135_idx,14,,,,,,,,,,,,,,,
,,roundabout_180_idx,15,,,,,,,,,,,,,,,
,,roundabout_225_idx,16,,,,,,,,,,,,,,,
,,roundabout_270_idx,17,,,,,,,,,,,,,,,
,,roundabout_315_idx,18,,,,,,,,,,,,,,,
,,roundabout_360_idx,19,,,,,,,,,,,,,,,
,,roundabout_neg_45_idx,20,,,,,,,,,,,,,,,
,,roundabout_neg_90_idx,21,,,,,,,,,,,,,,,
,,roundabout_neg_135_idx,22,,,,,,,,,,,,,,,
,,roundabout_neg_180_idx,23,,,,,,,,,,,,,,,
,,roundabout_neg_225_idx,24,,,,,,,,,,,,,,,
,,roundabout_neg_270_idx,25,,,,,,,,,,,,,,,
,,roundabout_neg_315_idx,26,,,,,,,,,,,,,,,
,,roundabout_neg_360_idx,27,,,,,,,,,,,,,,,
,,roundabout_generic_idx,28,,,,,,,,,,,,,,,
,,roundabout_neg_generic_idx,29,,,,,,,,,,,,,,,
,,sharp_turn_left_idx,30,,,,,,,,,,,,,,,
,,sharp_turn_right_idx,31,,,,,,,,,,,,,,,
,,turn_left_idx,32,,,,,,,,,,,,,,,
,,turn_right_idx,33,,,,,,,,,,,,,,,
,,uturn_left_idx,34,,,,,,,,,,,,,,,
,,uturn_right_idx,35,,,,,,,,,,,,,,,
,,icon_inv_idx,36,,,,,,,,,,,,,,,
,,icon_idx_cnt,37,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
bike_light_beam_angle_mode,unit8,,,,,,,,,,,,,,,,,
,,manual,0,,,,,,,,,,,,,,,
,,auto,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
fit_base_unit,uint16,,,,,,,,,,,,,,,,,
,,other,0,,,,,,,,,,,,,,,
